Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 22-23,February 2023,SUNDAY,Connector,"4,780"
FY 22-23,February 2023,SATURDAY,Connector,"5,960"
FY 22-23,February 2023,WEEKDAY,Connector,"8,570"
FY 22-23,March 2023,SUNDAY,Connector,"4,840"
FY 22-23,March 2023,SATURDAY,Connector,"5,840"
FY 22-23,March 2023,WEEKDAY,Connector,"8,340"
FY 22-23,April 2023,SUNDAY,Connector,"5,920"
FY 22-23,April 2023,SATURDAY,Connector,"6,870"
FY 22-23,April 2023,WEEKDAY,Connector,"9,410"
FY 22-23,May 2023,SUNDAY,Connector,"5,640"
FY 22-23,May 2023,SATURDAY,Connector,"6,380"
FY 22-23,May 2023,WEEKDAY,Connector,"9,590"
FY 22-23,June 2023,SUNDAY,Connector,"5,500"
FY 22-23,June 2023,SATURDAY,Connector,"6,380"
FY 22-23,June 2023,WEEKDAY,Connector,"8,520"
FY 23-24,July 2023,SUNDAY,Connector,"5,810"
FY 23-24,July 2023,SATURDAY,Connector,"6,760"
FY 23-24,July 2023,WEEKDAY,Connector,"8,830"
FY 23-24,August 2023,SUNDAY,Connector,"5,860"
FY 23-24,August 2023,SATURDAY,Connector,"6,690"
FY 23-24,August 2023,WEEKDAY,Connector,"9,060"
FY 23-24,September 2023,SUNDAY,Connector,"5,890"
FY 23-24,September 2023,SATURDAY,Connector,"6,400"
FY 23-24,September 2023,WEEKDAY,Connector,"9,980"
FY 23-24,October 2023,SUNDAY,Connector,"5,460"
FY 23-24,October 2023,SATURDAY,Connector,"6,020"
FY 23-24,October 2023,WEEKDAY,Connector,"10,020"
FY 23-24,November 2023,SUNDAY,Connector,"4,050"
FY 23-24,November 2023,SATURDAY,Connector,"6,000"
FY 23-24,November 2023,WEEKDAY,Connector,"8,570"
FY 23-24,December 2023,SUNDAY,Connector,"4,120"
FY 23-24,December 2023,SATURDAY,Connector,"5,060"
FY 23-24,December 2023,WEEKDAY,Connector,"8,120"
FY 23-24,January 2024,SUNDAY,Connector,"4,320"
FY 23-24,January 2024,SATURDAY,Connector,"5,620"
FY 23-24,January 2024,WEEKDAY,Connector,"8,640"
FY 23-24,February 2024,SUNDAY,Connector,"4,790"
FY 23-24,February 2024,SATURDAY,Connector,"6,430"
FY 23-24,February 2024,WEEKDAY,Connector,"9,780"
FY 23-24,March 2024,SUNDAY,Connector,"5,200"
FY 23-24,March 2024,SATURDAY,Connector,"6,340"
FY 23-24,March 2024,WEEKDAY,Connector,"10,110"
FY 23-24,April 2024,SUNDAY,Connector,"5,620"
FY 23-24,April 2024,SATURDAY,Connector,"6,640"
FY 23-24,April 2024,WEEKDAY,Connector,"9,810"
FY 23-24,May 2024,SUNDAY,Connector,"5,730"
FY 23-24,May 2024,SATURDAY,Connector,"6,050"
FY 23-24,May 2024,WEEKDAY,Connector,"10,370"
FY 23-24,June 2024,SUNDAY,Connector,"5,670"
FY 23-24,June 2024,SATURDAY,Connector,"6,300"
FY 23-24,June 2024,WEEKDAY,Connector,"9,030"
FY 15-16,January 2016,SUNDAY,Frequent Local,"137,700"
FY 15-16,January 2016,SATURDAY,Frequent Local,"168,220"
FY 15-16,January 2016,WEEKDAY,Frequent Local,"207,160"
FY 15-16,February 2016,SUNDAY,Frequent Local,"151,450"
