Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 16-17,January 2017,WEEKDAY,Specialized,"31,020"
FY 16-17,February 2017,SUNDAY,Specialized,200
FY 16-17,February 2017,SATURDAY,Specialized,350
FY 16-17,February 2017,WEEKDAY,Specialized,"33,440"
FY 16-17,March 2017,SUNDAY,Specialized,250
FY 16-17,March 2017,SATURDAY,Specialized,450
FY 16-17,March 2017,WEEKDAY,Specialized,"31,680"
FY 16-17,April 2017,SUNDAY,Specialized,240
FY 16-17,April 2017,SATURDAY,Specialized,340
FY 16-17,April 2017,WEEKDAY,Specialized,"30,560"
FY 16-17,May 2017,SUNDAY,Specialized,0
FY 16-17,May 2017,SATURDAY,Specialized,0
FY 16-17,May 2017,WEEKDAY,Specialized,"34,590"
FY 16-17,June 2017,SUNDAY,Specialized,330
FY 16-17,June 2017,SATURDAY,Specialized,450
FY 16-17,June 2017,WEEKDAY,Specialized,"33,390"
FY 17-18,July 2017,SUNDAY,Specialized,510
FY 17-18,July 2017,SATURDAY,Specialized,600
FY 17-18,July 2017,WEEKDAY,Specialized,"32,400"
FY 17-18,August 2017,SUNDAY,Specialized,440
FY 17-18,August 2017,SATURDAY,Specialized,50
FY 17-18,August 2017,WEEKDAY,Specialized,"35,000"
FY 17-18,September 2017,SUNDAY,Specialized,220
FY 17-18,September 2017,SATURDAY,Specialized,20
FY 17-18,September 2017,WEEKDAY,Specialized,"35,390"
FY 17-18,October 2017,SUNDAY,Specialized,230
FY 17-18,October 2017,SATURDAY,Specialized,460
FY 17-18,October 2017,WEEKDAY,Specialized,"36,210"
FY 17-18,November 2017,SUNDAY,Specialized,310
FY 17-18,November 2017,SATURDAY,Specialized,370
FY 17-18,November 2017,WEEKDAY,Specialized,"32,600"
FY 17-18,December 2017,SUNDAY,Specialized,350
FY 17-18,December 2017,SATURDAY,Specialized,300
FY 17-18,December 2017,WEEKDAY,Specialized,"30,880"
FY 17-18,January 2018,SUNDAY,Specialized,310
FY 17-18,January 2018,SATURDAY,Specialized,330
FY 17-18,January 2018,WEEKDAY,Specialized,"32,810"
FY 17-18,February 2018,SUNDAY,Specialized,350
FY 17-18,February 2018,SATURDAY,Specialized,400
FY 17-18,February 2018,WEEKDAY,Specialized,"33,890"
FY 17-18,March 2018,SUNDAY,Specialized,360
FY 17-18,March 2018,SATURDAY,Specialized,290
FY 17-18,March 2018,WEEKDAY,Specialized,"33,370"
FY 17-18,April 2018,SUNDAY,Specialized,410
FY 17-18,April 2018,SATURDAY,Specialized,350
FY 17-18,April 2018,WEEKDAY,Specialized,"34,190"
FY 17-18,May 2018,SUNDAY,Specialized,350
FY 17-18,May 2018,SATURDAY,Specialized,350
FY 17-18,May 2018,WEEKDAY,Specialized,"35,460"
FY 17-18,June 2018,SUNDAY,Specialized,420
FY 17-18,June 2018,SATURDAY,Specialized,470
FY 17-18,June 2018,WEEKDAY,Specialized,"34,950"
FY 18-19,July 2018,SUNDAY,Specialized,480
FY 18-19,July 2018,SATURDAY,Specialized,490
FY 18-19,July 2018,WEEKDAY,Specialized,"35,700"
FY 18-19,August 2018,SUNDAY,Specialized,470
FY 18-19,August 2018,SATURDAY,Specialized,450
FY 18-19,August 2018,WEEKDAY,Specialized,"36,090"
FY 18-19,September 2018,SUNDAY,Specialized,0
FY 18-19,September 2018,SATURDAY,Specialized,460
FY 18-19,September 2018,WEEKDAY,Specialized,"35,780"
FY 18-19,October 2018,SUNDAY,Specialized,450
FY 18-19,October 2018,SATURDAY,Specialized,400
FY 18-19,October 2018,WEEKDAY,Specialized,"35,950"
FY 18-19,November 2018,SUNDAY,Specialized,300
FY 18-19,November 2018,SATURDAY,Specialized,320
FY 18-19,November 2018,WEEKDAY,Specialized,"32,060"
FY 18-19,December 2018,SUNDAY,Specialized,340
FY 18-19,December 2018,SATURDAY,Specialized,290
FY 18-19,December 2018,WEEKDAY,Specialized,"32,320"
FY 18-19,January 2019,SUNDAY,Specialized,220
FY 18-19,January 2019,SATURDAY,Specialized,230
FY 18-19,January 2019,WEEKDAY,Specialized,"35,170"
FY 18-19,February 2019,SUNDAY,Specialized,250
FY 18-19,February 2019,SATURDAY,Specialized,220
FY 18-19,February 2019,WEEKDAY,Specialized,"35,140"
FY 18-19,March 2019,SUNDAY,Specialized,260
FY 18-19,March 2019,SATURDAY,Specialized,450
FY 18-19,March 2019,WEEKDAY,Specialized,"33,430"
FY 18-19,April 2019,SUNDAY,Specialized,440
FY 18-19,April 2019,SATURDAY,Specialized,410
FY 18-19,April 2019,WEEKDAY,Specialized,"35,030"
FY 18-19,May 2019,SUNDAY,Specialized,360
FY 18-19,May 2019,SATURDAY,Specialized,320
FY 18-19,May 2019,WEEKDAY,Specialized,"35,280"
FY 18-19,June 2019,SUNDAY,Specialized,480
FY 18-19,June 2019,SATURDAY,Specialized,410
FY 18-19,June 2019,WEEKDAY,Specialized,"34,570"
FY 19-20,July 2019,SUNDAY,Specialized,390
FY 19-20,July 2019,SATURDAY,Specialized,470
FY 19-20,July 2019,WEEKDAY,Specialized,"34,020"
FY 19-20,August 2019,SUNDAY,Specialized,380
FY 19-20,August 2019,SATURDAY,Specialized,380
FY 19-20,August 2019,WEEKDAY,Specialized,"33,390"
FY 19-20,September 2019,SUNDAY,Specialized,410
FY 19-20,September 2019,SATURDAY,Specialized,480
FY 19-20,September 2019,WEEKDAY,Specialized,"36,910"
FY 19-20,October 2019,SUNDAY,Specialized,340
FY 19-20,October 2019,SATURDAY,Specialized,340
FY 19-20,October 2019,WEEKDAY,Specialized,"36,520"
FY 19-20,November 2019,SUNDAY,Specialized,380
FY 19-20,November 2019,SATURDAY,Specialized,300
FY 19-20,November 2019,WEEKDAY,Specialized,"33,320"
FY 19-20,December 2019,SUNDAY,Specialized,250
FY 19-20,December 2019,SATURDAY,Specialized,330
FY 19-20,December 2019,WEEKDAY,Specialized,"30,170"
FY 19-20,January 2020,SUNDAY,Specialized,310
FY 19-20,January 2020,SATURDAY,Specialized,300
FY 19-20,January 2020,WEEKDAY,Specialized,"34,610"
FY 19-20,February 2020,SUNDAY,Specialized,330
FY 19-20,February 2020,SATURDAY,Specialized,340
FY 19-20,February 2020,WEEKDAY,Specialized,"35,440"
FY 19-20,March 2020,SUNDAY,Specialized,100
FY 19-20,March 2020,SATURDAY,Specialized,70
FY 19-20,March 2020,WEEKDAY,Specialized,"19,860"
FY 19-20,April 2020,WEEKDAY,Specialized,550
FY 19-20,May 2020,WEEKDAY,Specialized,0
FY 19-20,June 2020,WEEKDAY,Specialized,0
FY 20-21,July 2020,WEEKDAY,Specialized,0
FY 20-21,August 2020,WEEKDAY,Specialized,0
FY 20-21,September 2020,WEEKDAY,Specialized,0
FY 20-21,October 2020,WEEKDAY,Specialized,0
FY 20-21,December 2020,WEEKDAY,Specialized,0
FY 20-21,January 2021,SUNDAY,Specialized,170
FY 20-21,January 2021,SATURDAY,Specialized,170
FY 20-21,January 2021,WEEKDAY,Specialized,"1,250"
FY 20-21,February 2021,SUNDAY,Specialized,550
FY 20-21,February 2021,SATURDAY,Specialized,670
FY 20-21,February 2021,WEEKDAY,Specialized,"4,920"
FY 20-21,March 2021,SUNDAY,Specialized,610
FY 20-21,March 2021,SATURDAY,Specialized,690
FY 20-21,March 2021,WEEKDAY,Specialized,"5,000"
FY 20-21,April 2021,SUNDAY,Specialized,650
FY 20-21,April 2021,SATURDAY,Specialized,760
FY 20-21,April 2021,WEEKDAY,Specialized,"5,490"
FY 20-21,May 2021,SUNDAY,Specialized,740
FY 20-21,May 2021,SATURDAY,Specialized,960
FY 20-21,May 2021,WEEKDAY,Specialized,"3,440"
FY 20-21,June 2021,SUNDAY,Specialized,850
FY 20-21,June 2021,SATURDAY,Specialized,"1,010"
FY 20-21,June 2021,WEEKDAY,Specialized,"1,410"
FY 21-22,July 2021,SUNDAY,Specialized,890
FY 21-22,July 2021,SATURDAY,Specialized,"1,110"
FY 21-22,July 2021,WEEKDAY,Specialized,"1,610"
FY 21-22,August 2021,SUNDAY,Specialized,960
FY 21-22,August 2021,SATURDAY,Specialized,"1,080"
FY 21-22,August 2021,WEEKDAY,Specialized,"1,710"
FY 21-22,September 2021,SUNDAY,Specialized,780
FY 21-22,September 2021,SATURDAY,Specialized,890
FY 21-22,September 2021,WEEKDAY,Specialized,"1,880"
FY 21-22,October 2021,SUNDAY,Specialized,710
FY 21-22,October 2021,SATURDAY,Specialized,"1,040"
FY 21-22,October 2021,WEEKDAY,Specialized,"2,030"
FY 21-22,November 2021,SUNDAY,Specialized,770
FY 21-22,November 2021,SATURDAY,Specialized,"1,060"
FY 21-22,November 2021,WEEKDAY,Specialized,"2,180"
FY 21-22,December 2021,SUNDAY,Specialized,820
FY 21-22,December 2021,SATURDAY,Specialized,"1,040"
FY 21-22,December 2021,WEEKDAY,Specialized,"2,130"
FY 21-22,January 2022,SUNDAY,Specialized,970
FY 21-22,January 2022,SATURDAY,Specialized,900
FY 21-22,January 2022,WEEKDAY,Specialized,"1,920"
FY 21-22,February 2022,SUNDAY,Specialized,"1,030"
FY 21-22,February 2022,SATURDAY,Specialized,"1,210"
FY 21-22,February 2022,WEEKDAY,Specialized,"2,080"
FY 21-22,March 2022,SUNDAY,Specialized,"1,370"
FY 21-22,March 2022,SATURDAY,Specialized,"1,620"
FY 21-22,March 2022,WEEKDAY,Specialized,"2,410"
FY 21-22,April 2022,SUNDAY,Specialized,"1,370"
FY 21-22,April 2022,SATURDAY,Specialized,"1,600"
FY 21-22,April 2022,WEEKDAY,Specialized,"5,560"
FY 21-22,May 2022,SUNDAY,Specialized,"1,250"
FY 21-22,May 2022,SATURDAY,Specialized,"1,580"
FY 21-22,May 2022,WEEKDAY,Specialized,"9,320"
FY 21-22,June 2022,SUNDAY,Specialized,"1,480"
FY 21-22,June 2022,SATURDAY,Specialized,"1,570"
FY 21-22,June 2022,WEEKDAY,Specialized,"9,080"
FY 22-23,July 2022,SUNDAY,Specialized,"1,380"
FY 22-23,July 2022,SATURDAY,Specialized,"1,620"
FY 22-23,July 2022,WEEKDAY,Specialized,"9,090"
FY 22-23,August 2022,SUNDAY,Specialized,"1,540"
FY 22-23,August 2022,SATURDAY,Specialized,"1,700"
FY 22-23,August 2022,WEEKDAY,Specialized,"9,420"
FY 22-23,September 2022,SUNDAY,Specialized,"1,900"
FY 22-23,September 2022,SATURDAY,Specialized,"2,140"
FY 22-23,September 2022,WEEKDAY,Specialized,"10,480"
FY 22-23,October 2022,SUNDAY,Specialized,"1,780"
FY 22-23,October 2022,SATURDAY,Specialized,"1,860"
FY 22-23,October 2022,WEEKDAY,Specialized,"10,580"
FY 22-23,November 2022,SUNDAY,Specialized,"1,390"
FY 22-23,November 2022,SATURDAY,Specialized,"2,260"
FY 22-23,November 2022,WEEKDAY,Specialized,"9,930"
FY 22-23,December 2022,SUNDAY,Specialized,"1,650"
FY 22-23,December 2022,SATURDAY,Specialized,"1,610"
FY 22-23,December 2022,WEEKDAY,Specialized,"9,080"
FY 22-23,January 2023,SUNDAY,Specialized,"1,520"
FY 22-23,January 2023,SATURDAY,Specialized,"1,720"
FY 22-23,January 2023,WEEKDAY,Specialized,"9,780"
FY 22-23,February 2023,SUNDAY,Specialized,"1,470"
FY 22-23,February 2023,SATURDAY,Specialized,"1,890"
FY 22-23,February 2023,WEEKDAY,Specialized,"10,280"
FY 22-23,March 2023,SUNDAY,Specialized,"1,590"
FY 22-23,March 2023,SATURDAY,Specialized,"2,050"
FY 22-23,March 2023,WEEKDAY,Specialized,"9,950"
FY 22-23,April 2023,SUNDAY,Specialized,"1,710"
FY 22-23,April 2023,SATURDAY,Specialized,"1,950"
FY 22-23,April 2023,WEEKDAY,Specialized,"10,970"
FY 22-23,May 2023,SUNDAY,Specialized,"1,460"
FY 22-23,May 2023,SATURDAY,Specialized,"1,770"
FY 22-23,May 2023,WEEKDAY,Specialized,"10,990"
FY 22-23,June 2023,SUNDAY,Specialized,"1,650"
FY 22-23,June 2023,SATURDAY,Specialized,"2,000"
FY 22-23,June 2023,WEEKDAY,Specialized,"10,660"
FY 23-24,July 2023,SUNDAY,Specialized,"1,650"
FY 23-24,July 2023,SATURDAY,Specialized,"2,190"
FY 23-24,July 2023,WEEKDAY,Specialized,"10,740"
FY 23-24,August 2023,SUNDAY,Specialized,"1,920"
FY 23-24,August 2023,SATURDAY,Specialized,"2,210"
FY 23-24,August 2023,WEEKDAY,Specialized,"11,080"
FY 23-24,September 2023,SUNDAY,Specialized,"1,710"
FY 23-24,September 2023,SATURDAY,Specialized,"2,130"
FY 23-24,September 2023,WEEKDAY,Specialized,"11,690"
FY 23-24,October 2023,SUNDAY,Specialized,"2,150"
FY 23-24,October 2023,SATURDAY,Specialized,"2,610"
FY 23-24,October 2023,WEEKDAY,Specialized,"12,060"
FY 23-24,November 2023,SUNDAY,Specialized,"1,450"
FY 23-24,November 2023,SATURDAY,Specialized,"2,010"
FY 23-24,November 2023,WEEKDAY,Specialized,"10,140"
FY 23-24,December 2023,SUNDAY,Specialized,"1,690"
FY 23-24,December 2023,SATURDAY,Specialized,"2,070"
FY 23-24,December 2023,WEEKDAY,Specialized,"10,040"
FY 23-24,January 2024,SUNDAY,Specialized,"1,720"
FY 23-24,January 2024,SATURDAY,Specialized,"1,920"
FY 23-24,January 2024,WEEKDAY,Specialized,"11,000"
FY 23-24,February 2024,SUNDAY,Specialized,"1,840"
FY 23-24,February 2024,SATURDAY,Specialized,"2,100"
FY 23-24,February 2024,WEEKDAY,Specialized,"11,260"
FY 23-24,March 2024,SUNDAY,Specialized,"1,880"
FY 23-24,March 2024,SATURDAY,Specialized,"2,250"
FY 23-24,March 2024,WEEKDAY,Specialized,"11,340"
FY 23-24,April 2024,SUNDAY,Specialized,"2,020"
FY 23-24,April 2024,SATURDAY,Specialized,"2,080"
FY 23-24,April 2024,WEEKDAY,Specialized,"11,220"
FY 23-24,May 2024,SUNDAY,Specialized,"1,740"
FY 23-24,May 2024,SATURDAY,Specialized,"1,990"
FY 23-24,May 2024,WEEKDAY,Specialized,"11,700"
FY 23-24,June 2024,SUNDAY,Specialized,"2,090"
FY 23-24,June 2024,SATURDAY,Specialized,"2,210"
FY 23-24,June 2024,WEEKDAY,Specialized,"11,310"
